JS File,Size (KB),Minified,Contains Risky Pattern
14_06_2025\forbescapitaltrade.com\cdn-cgi\scripts\5c5dd728\cloudflare-static\email-decode.min.js,1.21,True,False
14_06_2025\forbescapitaltrade.com\external-embedding\embed-widget-ticker-tape.js,13.34,True,False
14_06_2025\globalproinvestment.com\account\temp\js\app.js,3.20,False,False
14_06_2025\globalproinvestment.com\account\temp\js\bootstrap.bundle.min.js,82.19,True,True
14_06_2025\globalproinvestment.com\account\temp\js\feather.min.js,74.01,True,True
14_06_2025\globalproinvestment.com\account\temp\js\jquery-3.5.1.min.js,87.38,True,True
14_06_2025\globalproinvestment.com\account\temp\js\owl.carousel.min.js,43.31,True,True
14_06_2025\globalproinvestment.com\account\temp\js\owl.init.js,1.61,False,False
14_06_2025\globalproinvestment.com\account\temp\js\widget.js,402.11,True,True
14_06_2025\globalproinvestment.com\assets\js\bootstrap.min.js,61.98,True,True
14_06_2025\globalproinvestment.com\assets\js\demo.js,3.81,False,False
14_06_2025\globalproinvestment.com\assets\js\jquery-3.5.1.min.js,87.38,True,True
14_06_2025\globalproinvestment.com\assets\js\jquery.inputmask-multi.js,6.31,True,True
14_06_2025\globalproinvestment.com\assets\js\jquery.inputmask.js,69.67,True,True
14_06_2025\globalproinvestment.com\assets\js\mask-tel.js,59.46,False,False
14_06_2025\globalproinvestment.com\assets\js\popper.min.js,20.74,True,True
14_06_2025\globalproinvestment.com\assets\plugins\bootstrap-select\dist\js\bootstrap-select.min.js,51.02,True,True
14_06_2025\globalproinvestment.com\assets\plugins\owl-carousel\dist\owl.carousel.min.js,43.30,True,True
14_06_2025\globalproinvestment.com\assets\plugins\sweetalert2\dist\sweetalert2.min.js,35.77,True,True
14_06_2025\globalproinvestment.com\cdn-cgi\scripts\5c5dd728\cloudflare-static\email-decode.min.js,1.21,True,False
14_06_2025\globalproinvestment.com\external-embedding\embed-widget-ticker-tape.js,13.34,True,False
14_06_2025\horizonprofitchasers.com\account\en\assets\js\app.js,33.77,False,True
14_06_2025\horizonprofitchasers.com\account\en\assets\js\bootstrap.bundle.min.js,76.30,True,True
14_06_2025\horizonprofitchasers.com\account\en\assets\js\countdown.js,1.50,False,True
14_06_2025\horizonprofitchasers.com\account\en\assets\js\isotope.pkgd.min.js,34.61,True,True
14_06_2025\horizonprofitchasers.com\account\en\assets\js\jquery-3.6.0.min.js,87.40,True,True
14_06_2025\horizonprofitchasers.com\account\en\assets\js\jquery.magnific-popup.min.js,19.74,True,True
14_06_2025\horizonprofitchasers.com\account\en\assets\js\slick.js,41.86,True,True
14_06_2025\horizonprofitchasers.com\account\en\assets\js\swiper-bundle.min.js,139.35,True,True
14_06_2025\horizonprofitchasers.com\account\en\assets\js\wow.min.js,7.96,True,True
14_06_2025\horizonprofitchasers.com\account\en\assets\js\menu\menu.js,2.47,False,True
14_06_2025\horizonprofitchasers.com\account\public\assets\js\app.js,9.60,True,True
14_06_2025\horizonprofitchasers.com\account\public\assets\js\bundle.js,659.44,True,True
14_06_2025\horizonprofitchasers.com\assets\js\bootstrap.min.js,61.98,True,True
14_06_2025\horizonprofitchasers.com\assets\js\demo.js,3.81,False,False
14_06_2025\horizonprofitchasers.com\assets\js\jquery-3.5.1.min.js,87.38,True,True
14_06_2025\horizonprofitchasers.com\assets\js\jquery.inputmask-multi.js,6.31,True,True
14_06_2025\horizonprofitchasers.com\assets\js\jquery.inputmask.js,69.67,True,True
14_06_2025\horizonprofitchasers.com\assets\js\mask-tel.js,59.46,False,False
14_06_2025\horizonprofitchasers.com\assets\js\popper.min.js,20.74,True,True
14_06_2025\horizonprofitchasers.com\assets\plugins\bootstrap-select\dist\js\bootstrap-select.min.js,51.02,True,True
14_06_2025\horizonprofitchasers.com\assets\plugins\owl-carousel\dist\owl.carousel.min.js,43.30,True,True
14_06_2025\horizonprofitchasers.com\assets\plugins\sweetalert2\dist\sweetalert2.min.js,35.77,True,True
14_06_2025\horizonprofitchasers.com\cdn-cgi\scripts\5c5dd728\cloudflare-static\email-decode.min.js,1.21,True,False
14_06_2025\horizonprofitchasers.com\external-embedding\embed-widget-ticker-tape.js,13.34,True,False
14_06_2025\horizonxprexbs.com\account\en\assets\js\app.js,33.77,False,True
14_06_2025\horizonxprexbs.com\account\en\assets\js\bootstrap.bundle.min.js,76.30,True,True
14_06_2025\horizonxprexbs.com\account\en\assets\js\countdown.js,1.50,False,True
14_06_2025\horizonxprexbs.com\account\en\assets\js\isotope.pkgd.min.js,34.61,True,True
14_06_2025\horizonxprexbs.com\account\en\assets\js\jquery-3.6.0.min.js,87.40,True,True
14_06_2025\horizonxprexbs.com\account\en\assets\js\jquery.magnific-popup.min.js,19.74,True,True
14_06_2025\horizonxprexbs.com\account\en\assets\js\slick.js,41.86,True,True
14_06_2025\horizonxprexbs.com\account\en\assets\js\swiper-bundle.min.js,139.35,True,True
14_06_2025\horizonxprexbs.com\account\en\assets\js\wow.min.js,7.96,True,True
14_06_2025\horizonxprexbs.com\account\en\assets\js\menu\menu.js,2.47,False,True
14_06_2025\horizonxprexbs.com\account\public\assets\js\app.js,9.60,True,True
14_06_2025\horizonxprexbs.com\account\public\assets\js\bundle.js,659.44,True,True
14_06_2025\horizonxprexbs.com\assets\js\bootstrap.min.js,61.98,True,True
14_06_2025\horizonxprexbs.com\assets\js\demo.js,3.81,False,False
14_06_2025\horizonxprexbs.com\assets\js\jquery-3.5.1.min.js,87.38,True,True
14_06_2025\horizonxprexbs.com\assets\js\jquery.inputmask-multi.js,6.31,True,True
14_06_2025\horizonxprexbs.com\assets\js\jquery.inputmask.js,69.67,True,True
14_06_2025\horizonxprexbs.com\assets\js\mask-tel.js,59.46,False,False
14_06_2025\horizonxprexbs.com\assets\js\popper.min.js,20.74,True,True
14_06_2025\horizonxprexbs.com\assets\plugins\bootstrap-select\dist\js\bootstrap-select.min.js,51.02,True,True
14_06_2025\horizonxprexbs.com\assets\plugins\owl-carousel\dist\owl.carousel.min.js,43.30,True,True
14_06_2025\horizonxprexbs.com\assets\plugins\sweetalert2\dist\sweetalert2.min.js,35.77,True,True
14_06_2025\horizonxprexbs.com\cdn-cgi\scripts\5c5dd728\cloudflare-static\email-decode.min.js,1.21,True,False
14_06_2025\horizonxprexbs.com\external-embedding\embed-widget-ticker-tape.js,13.34,True,False
14_06_2025\maxcdn.bootstrapcdn.com\bootstrap\3.3.7\js\bootstrap.min.js,36.18,True,True
14_06_2025\pinnaclesassetmanagement.com\assets\js\bootstrap.min.js,61.98,True,True
14_06_2025\pinnaclesassetmanagement.com\assets\js\demo.js,3.81,False,False
14_06_2025\pinnaclesassetmanagement.com\assets\js\jquery-3.5.1.min.js,87.38,True,True
14_06_2025\pinnaclesassetmanagement.com\assets\js\jquery.inputmask-multi.js,6.31,True,True
14_06_2025\pinnaclesassetmanagement.com\assets\js\jquery.inputmask.js,69.67,True,True
14_06_2025\pinnaclesassetmanagement.com\assets\js\mask-tel.js,59.46,False,False
14_06_2025\pinnaclesassetmanagement.com\assets\js\popper.min.js,20.74,True,True
14_06_2025\pinnaclesassetmanagement.com\assets\plugins\bootstrap-select\dist\js\bootstrap-select.min.js,51.02,True,True
14_06_2025\pinnaclesassetmanagement.com\assets\plugins\owl-carousel\dist\owl.carousel.min.js,43.30,True,True
14_06_2025\pinnaclesassetmanagement.com\assets\plugins\sweetalert2\dist\sweetalert2.min.js,35.77,True,True
14_06_2025\pinnaclesassetmanagement.com\cdn-cgi\scripts\5c5dd728\cloudflare-static\email-decode.min.js,1.21,True,False
14_06_2025\pinnaclesassetmanagement.com\dashboard\js\bootstrap.min.js,79.57,True,True
14_06_2025\pinnaclesassetmanagement.com\dashboard\js\imagesloaded.pkgd.min.js,7.42,True,True
14_06_2025\pinnaclesassetmanagement.com\dashboard\js\jquery-3.5.0.min.js,147.43,True,True
14_06_2025\pinnaclesassetmanagement.com\dashboard\js\jquery.mb.YTPlayer.min.js,88.05,True,True
14_06_2025\pinnaclesassetmanagement.com\dashboard\js\main.js,1.32,False,False
14_06_2025\pinnaclesassetmanagement.com\dashboard\js\popper.min.js,35.47,True,True
14_06_2025\pinnaclesassetmanagement.com\dashboard\js\ui-alerts.min.js,0.09,True,False
14_06_2025\pinnaclesassetmanagement.com\dashboard\js\validator.min.js,9.91,True,True
14_06_2025\pinnaclesassetmanagement.com\external-embedding\embed-widget-ticker-tape.js,13.34,True,False
14_06_2025\pinnaclesassetmanagement.com\js\jquery.counterup.min.js,1.04,True,True
14_06_2025\pinnaclesassetmanagement.com\js\jquery.simplyscroll.min.js,7.69,True,True
14_06_2025\pinnaclesassetmanagement.com\resources\js\app.min.js,26.72,True,True
14_06_2025\pinnaclesassetmanagement.com\resources\vendors\bootstrap\js\bootstrap.min.js,56.71,True,True
14_06_2025\pinnaclesassetmanagement.com\resources\vendors\flot\jquery.flot.js,120.09,True,True
14_06_2025\pinnaclesassetmanagement.com\resources\vendors\flot\jquery.flot.resize.js,3.24,True,True
14_06_2025\pinnaclesassetmanagement.com\resources\vendors\flot\flot.curvedlines\curvedLines.js,15.96,False,False
14_06_2025\pinnaclesassetmanagement.com\resources\vendors\fullcalendar\core\main.min.js,121.28,True,True
14_06_2025\pinnaclesassetmanagement.com\resources\vendors\fullcalendar\daygrid\main.min.js,27.10,True,False
14_06_2025\pinnaclesassetmanagement.com\resources\vendors\jquery.easy-pie-chart\jquery.easypiechart.min.js,3.90,True,True
14_06_2025\pinnaclesassetmanagement.com\resources\vendors\jqvmap\jquery.vmap.min.js,20.65,True,True
14_06_2025\pinnaclesassetmanagement.com\resources\vendors\jqvmap\maps\jquery.vmap.world.js,59.18,True,False
14_06_2025\pinnaclesassetmanagement.com\resources\vendors\overlay-scrollbars\jquery.overlayScrollbars.min.js,40.72,True,True
14_06_2025\pinnaclesassetmanagement.com\resources\vendors\peity\jquery.peity.min.js,3.63,True,True
14_06_2025\pinnaclesassetmanagement.com\resources\vendors\popper.js\popper.min.js,20.51,True,True
14_06_2025\premiumcryptolite.com\account\js\vendors\indonez.min.js,7.98,True,True
14_06_2025\premiumcryptolite.com\account\js\vendors\uikit.min.js,129.69,True,True
14_06_2025\premiumcryptolite.com\account\temp\js\main.js,6.69,False,True
14_06_2025\premiumcryptolite.com\account\temp\lib\aos\aos.js,14.35,True,True
14_06_2025\premiumcryptolite.com\account\temp\lib\bootstrap\js\bootstrap.bundle.min.js,74.52,True,True
14_06_2025\premiumcryptolite.com\account\temp\lib\counterup\counterup.min.js,2.35,True,True
14_06_2025\premiumcryptolite.com\account\temp\lib\isotope-layout\isotope.pkgd.min.js,34.61,True,True
14_06_2025\premiumcryptolite.com\account\temp\lib\jquery\jquery.min.js,87.38,True,True
14_06_2025\premiumcryptolite.com\account\temp\lib\jquery.easing\jquery.easing.min.js,2.47,True,False
14_06_2025\premiumcryptolite.com\account\temp\lib\owl.carousel\owl.carousel.min.js,43.30,True,True
14_06_2025\premiumcryptolite.com\account\temp\lib\venobox\venobox.min.js,14.66,True,True
14_06_2025\premiumcryptolite.com\account\temp\lib\waypoints\jquery.waypoints.min.js,8.82,True,True
14_06_2025\premiumcryptolite.com\assets\js\bootstrap.min.js,61.98,True,True
14_06_2025\premiumcryptolite.com\assets\js\demo.js,3.81,False,False
14_06_2025\premiumcryptolite.com\assets\js\jquery-3.5.1.min.js,87.38,True,True
14_06_2025\premiumcryptolite.com\assets\js\jquery.inputmask-multi.js,6.31,True,True
14_06_2025\premiumcryptolite.com\assets\js\jquery.inputmask.js,69.67,True,True
14_06_2025\premiumcryptolite.com\assets\js\mask-tel.js,59.46,False,False
14_06_2025\premiumcryptolite.com\assets\js\popper.min.js,20.74,True,True
14_06_2025\premiumcryptolite.com\assets\plugins\bootstrap-select\dist\js\bootstrap-select.min.js,51.02,True,True
14_06_2025\premiumcryptolite.com\assets\plugins\owl-carousel\dist\owl.carousel.min.js,43.30,True,True
14_06_2025\premiumcryptolite.com\assets\plugins\sweetalert2\dist\sweetalert2.min.js,35.77,True,True
14_06_2025\premiumcryptolite.com\cdn-cgi\scripts\5c5dd728\cloudflare-static\email-decode.min.js,1.21,True,False
14_06_2025\premiumcryptolite.com\external-embedding\embed-widget-ticker-tape.js,13.34,True,False
14_06_2025\promarketspot.com\account\assets\dashboard.js,1.41,False,False
14_06_2025\promarketspot.com\account\assets\js\active.js,6.40,False,False
14_06_2025\promarketspot.com\account\assets\js\bootstrap.min.js,57.84,True,True
14_06_2025\promarketspot.com\account\assets\js\imageload.min.js,5.47,True,True
14_06_2025\promarketspot.com\account\assets\js\isotope.pkgd.min.js,34.68,True,True
14_06_2025\promarketspot.com\account\assets\js\jquery.easing.js,8.11,False,False
14_06_2025\promarketspot.com\account\assets\js\jquery.min.js,87.40,True,True
14_06_2025\promarketspot.com\account\assets\js\magnific-popup.min.js,19.75,True,True
14_06_2025\promarketspot.com\account\assets\js\metismenu.js,10.33,False,True
14_06_2025\promarketspot.com\account\assets\js\modernizr.min.js,8.40,True,True
14_06_2025\promarketspot.com\account\assets\js\popper.min.js,18.36,True,False
14_06_2025\promarketspot.com\account\assets\js\script.js,1.46,False,False
14_06_2025\promarketspot.com\account\assets\js\scrollUp.min.js,2.00,True,False
14_06_2025\promarketspot.com\account\assets\js\swiper-bundle.min.js,167.54,True,True
14_06_2025\promarketspot.com\account\assets\js\wow.min.js,8.22,True,True
14_06_2025\promarketspot.com\account\includes\selectable\jquery-select7.js,12.83,False,True
14_06_2025\promarketspot.com\account\public\assets\js\app.js,9.60,True,True
14_06_2025\promarketspot.com\account\public\assets\js\bundle.js,659.44,True,True
14_06_2025\promarketspot.com\assets\js\bootstrap.min.js,61.98,True,True
14_06_2025\promarketspot.com\assets\js\demo.js,3.81,False,False
14_06_2025\promarketspot.com\assets\js\jquery-3.5.1.min.js,87.38,True,True
14_06_2025\promarketspot.com\assets\js\jquery.inputmask-multi.js,6.31,True,True
14_06_2025\promarketspot.com\assets\js\jquery.inputmask.js,69.67,True,True
14_06_2025\promarketspot.com\assets\js\mask-tel.js,59.46,False,False
14_06_2025\promarketspot.com\assets\js\popper.min.js,20.74,True,True
14_06_2025\promarketspot.com\assets\plugins\bootstrap-select\dist\js\bootstrap-select.min.js,51.02,True,True
14_06_2025\promarketspot.com\assets\plugins\owl-carousel\dist\owl.carousel.min.js,43.30,True,True
14_06_2025\promarketspot.com\assets\plugins\sweetalert2\dist\sweetalert2.min.js,35.77,True,True
14_06_2025\promarketspot.com\cdn-cgi\scripts\5c5dd728\cloudflare-static\email-decode.min.js,1.21,True,False
14_06_2025\promarketspot.com\external-embedding\embed-widget-ticker-tape.js,13.34,True,False
14_06_2025\s3.tradingview.com\external-embedding\embed-widget-ticker-tape.js,13.29,True,False
14_06_2025\stackpath.bootstrapcdn.com\bootstrap\4.5.2\js\bootstrap.min.js,58.64,True,True
14_06_2025\static\js\bootstrap.bundle.min.js,0.00,True,False
14_06_2025\static\js\comm.js,0.00,False,False
14_06_2025\static\js\jquery.min.js,0.00,True,False
14_06_2025\static\js\jquery.vidbacking.js,0.00,False,False
14_06_2025\static\js\layer.js,0.00,False,False
14_06_2025\static\js\main.js,0.00,False,False
14_06_2025\static\js\muennav.js,0.00,False,False
14_06_2025\static\js\swiper.min.js,0.00,True,False
14_06_2025\static\js\wow.min.js,0.00,True,False
14_06_2025\static\js\yii.js,0.00,False,False
14_06_2025\tp-tasklimited.com\ajax\libs\jquery\3.1.1\jquery.min.js,84.68,True,True
14_06_2025\tp-tasklimited.com\alert\js\jquery.fake-notification.min.js,3.49,True,True
14_06_2025\tp-tasklimited.com\bxslider\4.2.12\jquery.bxslider.min.js,22.99,True,True
14_06_2025\tp-tasklimited.com\external-embedding\embed-widget-hotlists.js,12.82,True,False
14_06_2025\tp-tasklimited.com\libs\build\js\intlTelInput.js,85.49,True,True
14_06_2025\tp-tasklimited.com\libs\build\js\utils.js,239.44,True,False
14_06_2025\tp-tasklimited.com\libs\js\bootstrap.bundle.min.js,78.81,True,True
14_06_2025\tp-tasklimited.com\libs\js\bootstrap.min.js,58.60,True,True
14_06_2025\tp-tasklimited.com\libs\js\jquery.js,84.68,True,True
14_06_2025\tp-tasklimited.com\libs\js\owl.carousel.min.js,41.77,True,True
14_06_2025\tp-tasklimited.com\translate_a\element7876.js,89.61,True,True
14_06_2025\translate.google.com\translate_a\elementa0d8.js,77.13,True,True
14_06_2025\unpkg.com\sweetalert@2.1.2\dist\sweetalert.min.js,39.85,True,True
14_06_2025\vasttradenetwork.com\alert\js\jquery.fake-notification.min.js,3.49,True,True
14_06_2025\vasttradenetwork.com\cdn.jsdelivr.net\bxslider\4.2.12\jquery.bxslider.min.js,22.99,True,True
14_06_2025\vasttradenetwork.com\libs\build\js\intlTelInput.js,85.49,True,True
14_06_2025\vasttradenetwork.com\libs\build\js\utils.js,239.44,True,False
14_06_2025\vasttradenetwork.com\libs\js\bootstrap.bundle.min.js,78.81,True,True
14_06_2025\vasttradenetwork.com\libs\js\bootstrap.min.js,58.60,True,True
14_06_2025\vasttradenetwork.com\libs\js\jquery.js,84.68,True,True
14_06_2025\vasttradenetwork.com\libs\js\owl.carousel.min.js,41.77,True,True
14_06_2025\vasttradenetwork.com\my-account\assets\js\app.js,3261.10,True,True
14_06_2025\www.google-analytics.com\analytics.js,51.68,True,True
14_06_2025\www.google.com\adsense\domains\caf77bb.js,140.11,True,True
14_06_2025\www.google.com\recaptcha\api.js,0.99,True,False
14_06_2025\www.google.com\recaptcha\api7642.js,1.05,True,False
14_06_2025\www.gstatic.com\external_hosted\animejs\anime.min.js,17.98,True,False
14_06_2025\www.gstatic.com\external_hosted\hammerjs\v2_0_2\hammer.min.js,16.93,True,True
14_06_2025\www.gstatic.com\external_hosted\mustache\mustache.js,19.14,False,True
14_06_2025\www.gstatic.com\feedback\js\help\prod\service\lazy.min.js,121.25,True,True
14_06_2025\www.gstatic.com\glue\cookienotificationbar\cookienotificationbar.min.js,73.95,True,True
14_06_2025\www.smartsuppchat.com\loaderd41d.js,17.72,True,True
14_06_2025\www.youtube.com\ads\static\compiled\globals.min5e13.js,110.81,True,True
14_06_2025\www.youtube.com\ads\static\compiled\index.min8015.js,500.25,True,True
14_06_2025\www.youtube.com\creators\static\compiled\index.min.js,235.93,True,True
14_06_2025\www.youtube.com\howyoutubeworks\static\compiled\advisory-committee.index.minbbda.js,1.05,True,False
14_06_2025\www.youtube.com\howyoutubeworks\static\compiled\ai-and-creators.index.minc686.js,1.05,True,False
14_06_2025\www.youtube.com\howyoutubeworks\static\compiled\ai.index.min1484.js,1.05,True,False
14_06_2025\www.youtube.com\howyoutubeworks\static\compiled\copyright.index.min3ebd.js,1.04,True,False
14_06_2025\www.youtube.com\howyoutubeworks\static\compiled\creator-economy.index.min077c.js,1.04,True,False
14_06_2025\www.youtube.com\howyoutubeworks\static\compiled\elections.index.min219b.js,1.04,True,False
14_06_2025\www.youtube.com\howyoutubeworks\static\compiled\main.index.min9417.js,1.04,True,False
14_06_2025\www.youtube.com\howyoutubeworks\static\compiled\policies.index.mindd67.js,1.04,True,False
14_06_2025\www.youtube.com\howyoutubeworks\static\compiled\privacy.index.min61a5.js,1.04,True,False
14_06_2025\www.youtube.com\howyoutubeworks\static\compiled\progress-impact.index.min72c6.js,1.05,True,False
14_06_2025\www.youtube.com\howyoutubeworks\static\compiled\recommendations.index.mindf10.js,1.05,True,False
14_06_2025\www.youtube.com\howyoutubeworks\static\compiled\shared.index.min3691.js,211.38,True,True
14_06_2025\www.youtube.com\howyoutubeworks\static\compiled\youth-principles.index.min9920.js,1.05,True,False
14_06_2025\www.youtube.com\howyoutubeworks\static\compiled\youth.index.min592d.js,1.04,True,False
14_06_2025\www.youtube.com\s\desktop\606e092f\jsbin\fetch-polyfill.vflset\fetch-polyfill.js,9.39,True,True
14_06_2025\www.youtube.com\s\desktop\606e092f\jsbin\intersection-observer.min.vflset\intersection-observer.min.js,5.43,True,True
14_06_2025\www.youtube.com\s\desktop\606e092f\jsbin\network.vflset\network.js,14.03,True,True
14_06_2025\www.youtube.com\s\desktop\606e092f\jsbin\scheduler.vflset\scheduler.js,8.78,True,True
14_06_2025\www.youtube.com\s\desktop\606e092f\jsbin\spf.vflset\spf.js,37.47,True,True
14_06_2025\www.youtube.com\s\desktop\606e092f\jsbin\web-animations-next-lite.min.vflset\web-animations-next-lite.min.js,49.67,True,True
14_06_2025\www.youtube.com\s\desktop\606e092f\jsbin\webcomponents-all-noPatch.vflset\webcomponents-all-noPatch.js,110.71,True,True
14_06_2025\www.youtube.com\s\desktop\606e092f\jsbin\www-i18n-constants-en_US.vflset\www-i18n-constants.js,5.65,True,False
14_06_2025\www.youtube.com\s\player\94f771d8\player_ias.vflset\en_US\base.js,2536.12,True,True
14_06_2025\www.youtube.com\s\player\94f771d8\player_ias.vflset\en_US\embed.js,32.92,True,False
14_06_2025\www.youtube.com\s\player\94f771d8\www-embed-player.vflset\www-embed-player.js,345.99,True,True
