Suspicious Term,2025-06-24 (Hits),2025-06-24 (Paths)
db,58,14_06_2025\apexglobalfxworld.com\assets\img\integrator\dbank.png; 14_06_2025\aspirebitwealth.com\assets\img\integrator\dbank.png; 14_06_2025\astridglobalinvestment.com\assets\img\integrator\dbank.png; 14_06_2025\atstradingserviceltd.com\xmlrpc0db0.php; 14_06_2025\atstradingserviceltd.com\wp-content\plugins\revslider\public\assets\assets\coloredbg.png; 14_06_2025\atstradingserviceltd.com\wp-content\uploads\fusion-styles\0284d62dbf4e8ae11f77b3e2a957b693.min7740.css; 14_06_2025\caddingtonlimited.com\xmlrpc0db0.php; 14_06_2025\caddingtonlimited.com\wp-content\plugins\revslider\public\assets\assets\coloredbg.png; 14_06_2025\caddingtonlimited.com\wp-content\uploads\2025\03\landbridge1-img.png; 14_06_2025\caddingtonlimited.com\wp-json\oembed\1.0\embedb8ea.json; 14_06_2025\caddingtonlimited.com\wp-json\oembed\1.0\embedbeb5; 14_06_2025\certifiedtrade.net\assets\img\integrator\dbank.png; 14_06_2025\copyvestpro.com\assets\img\integrator\dbank.png; 14_06_2025\eliteminerproinvestment.com\assets\img\integrator\dbank.png; 14_06_2025\fonts.googleapis.com\css06db.css; 14_06_2025\forbescapitaltrade.com\assets\img\integrator\dbank.png; 14_06_2025\globalproinvestment.com\assets\img\integrator\dbank.png; 14_06_2025\horizonprofitchasers.com\assets\img\integrator\dbank.png; 14_06_2025\horizonxprexbs.com\assets\img\integrator\dbank.png; 14_06_2025\i.ytimg.com\vi\2cmPsDBBYXY; 14_06_2025\images.unsplash.com\photo-1551135049-8a33b58838177dbe.jpg; 14_06_2025\junshengfx.club\indexdb38.html; 14_06_2025\junshengfx.net\indexdb38.html; 14_06_2025\kstatic.googleusercontent.com\files\0f126b763c36f42707ff66571ddcafdbf66a88bc199c41026fe814e0b4ad34493441d1f16733a804b36da2b32f627440fae6056536983b98e19f7ae526e67d46=w1080; 14_06_2025\kstatic.googleusercontent.com\files\1e72e3d5aa525f876601e0bc2589b075ffbd471ac6e3bf0daf4f1839bdba205ea737dea9888627ae10c77674a2a5523a6d8ee855a59bbe10a9be6a4587f4d304=w1080; 14_06_2025\kstatic.googleusercontent.com\files\266dbea37662b2b64cbe39722d75fd6a838b3ca08ea923cdef8c94a15244135e3a9a061866188128db23d2e3aab3b273177d82b1c5abbdc9eb393ce2cec89c62=w1080; 14_06_2025\kstatic.googleusercontent.com\files\37b9adb9bb91ae0b3757172116146e1850ab24391746f2c8fb0455d6ba267434dde18c7e960071d98e864467122eff4ba221c69f5cc499ffe6dd5051a008b014=w1080; 14_06_2025\kstatic.googleusercontent.com\files\3801d2031303eef59c7aefcd45b493d8ce2c4d4b79622d289587181f797e5176ff3c2ca543d4fb8c14db372905eb982c21e8ea9b143b1ed03c73ed1ebeafa703=w1080; 14_06_2025\kstatic.googleusercontent.com\files\397a7a23beb6b3c8ebca8d5cb517987d8b027a7703b4e8c3b44b4e5273a0caf6e61946a6dbc2d413a1a2b8e23708b1e44d80cd66e9572900dd4abcfcac81226d=w1080; 14_06_2025\kstatic.googleusercontent.com\files\460bfea32830c1e9d693169494509bb39f4dcec4f98b91296ee9659e83b9a6b3543f0328d9d22c562592da98d5def01447f8452174c3139dbcf890951b4b0768=w1080; 14_06_2025\kstatic.googleusercontent.com\files\6e4cedf4f3d2fa3a19c84165ff5776e1c0133a435b80505859d806a87faae030f1a74a33abc197147f356399b93efc73a414bac25dcaba438456489fddb25ae9=w1080; 14_06_2025\kstatic.googleusercontent.com\files\749145ec6a039a01efccbb8eb3f5dda10738c1e70f89e8ebe6eb77649c25f94db2626c810c475cf440da7fff70ed17797f186664357c2dc9b26c20eae901d2a0=w1080; 14_06_2025\kstatic.googleusercontent.com\files\782088d2c120ad0894c95bd9b11a9a8ec03092bda75b61c78ecf016372496feaa4a1bad5112db2ad8367cd52b2d68b1b754bd877d6546685a4091e69c8af5438=w1080; 14_06_2025\kstatic.googleusercontent.com\files\8b8f01dbf395e05dde33063de92214fa021b5779e922dc7707c753864300420f35cbf21a6cb47aedaf059a1076859bb989a76839decde525108bcb98ba01178a=w1080; 14_06_2025\kstatic.googleusercontent.com\files\9deea7978ee40fb62db69c9bd3556defc2525330ba566d943076cfac0352d0cc082eb3bca373593d941c363bd311c3258a6148b04a207f18fa64d4bdc845dd02=w1080; 14_06_2025\kstatic.googleusercontent.com\files\a71afc887f1401503e16a8646d71dbb348949df334c7fa0caee98a268afb8435f865277d53bbad07a051e76194d3249c70815f318dfbd08a675fe59bbcd12656=w1080; 14_06_2025\kstatic.googleusercontent.com\files\ad61b7fdb0f543a8dfc1811be80a059ecd6b2ada5783016d1b8da7384cadf3b08e366a198a77d571144e82d078dc612dd6ed95f41e1ae42290510ab306bac242=w1080; 14_06_2025\kstatic.googleusercontent.com\files\afdf78150cb2ddafc1b94e61a448522ba6eaa026ec70e39bca20080b99dc54f2a502f6264299cf0a1623eb5e3f4c2c47dba50f804e489af106337075164a45c2=w1080; 14_06_2025\kstatic.googleusercontent.com\files\c690be59676b396defc15b3e4fe50b6b6c3c3ed3587faf1c54cfb5a9dbf5d8dde834215835e268f506f9861a4099287a9255f8f643ebdd5699e9d14849e0fbad=w1080; 14_06_2025\kstatic.googleusercontent.com\files\cf1b8d140e315ca82ffd128ba4a3d9786367e7d42fad2d3f2f4866aca1f18d4dfd335ece99bcfa83d7a84ddb6663c84eac720cf4d75eed44c17a1ea724703fb9=w1080; 14_06_2025\kstatic.googleusercontent.com\files\dac254190c437055f71478d5389db89d1c8ce11ce7440bfe224fa2fb3809331244d0cbe2a75802a138a520042df04799756ed3ad07a19a3e71a9d7af999534b2=w1080; 14_06_2025\kstatic.googleusercontent.com\files\e4a1b6165a626b4995fe47601d232bd133a9eed82a8f01c5ad450dad4608c2a284f9db4e81addab9a3f344726a19f855f3377d575cca2fb5dae08c52b957f2c3=w1080; 14_06_2025\kstatic.googleusercontent.com\files\eaee41277c16885f05207ed4da4411015282637a2d4e07ccb0122de341417ce13d85934b317e596db7f265040704c050351d0c41785013d746ba2f591e3f3947=w1080; 14_06_2025\kstatic.googleusercontent.com\files\f173eea8d5ae37d4fddbd80ac85a066076527733aebbdeb2407e7ab77f943c3ec13e1358b88bedb74a371417892a76a99695d7215b01e266eee5e3ac61b63893=w1080; 14_06_2025\kstatic.googleusercontent.com\files\f1d71a68d3360d70d21b70d5548d6272d329a0f9e55547642cf347be68baed1b4db38801d783fa6edb79766ab8d8eddd6840d34873c3e10439926c861784b2c3=w1080; 14_06_2025\kstatic.googleusercontent.com\files\f32b02f34fdcf03458b640fe1e92f57f6c9e487e29e5be764cc13b319b4aabb3514ced794ee5e1d246b41e1b8fadb63614ca7c4b45b3a5a5fa65613d3bae84dc=w1080; 14_06_2025\kstatic.googleusercontent.com\files\f4ff985385b31ac35cb6624d6adef05ef4ea42162c85993a8b11abdb9d5f694210ad818a143b46665bff937c856624dd211defc28384ce2ba789ee22d58ab226=w1080; 14_06_2025\kstatic.googleusercontent.com\files\fe8e844a929e5c7b6215c33eb42848edb28a7d227a88e9c3af106520c7c7e89532c0cfee95445e15f8d3cef08fc893c9c8423cb3f86e5aa2f951c65c1f1a5666=w1080; 14_06_2025\pinnaclesassetmanagement.com\assets\img\integrator\dbank.png; 14_06_2025\premiumcryptolite.com\assets\img\integrator\dbank.png; 14_06_2025\promarketspot.com\account\nft-images\1D03CA7C-BD60-4067-BAC4-C24EDEDBDFE7-1-300x300.png; 14_06_2025\promarketspot.com\assets\img\integrator\dbank.png; 14_06_2025\static\css\jquery.vidbacking.css; 14_06_2025\static\js\jquery.vidbacking.js; 14_06_2025\vasttradenetwork.com\uploads\testimonies\thumb\dba4196289efa46a8372ec39f136afe2.jpg; 14_06_2025\www.gstatic.com\feedback; 14_06_2025\www.youtube.com\embed\2cmPsDBBYXY.html; 14_06_2025\www.youtube.com\embed\2cmPsDBBYXYca84.html
db_host,0,
db_password,0,
db_user,0,
deposit address,0,
deposit fee,0,
dev@,0,
developer,0,
discord,0,
discord:,0,
dispute,0,
dll,0,
dob,0,
document.cookie,0,
dropper,0,
email,34,14_06_2025\apexglobalfxworld.com\account\en\assets\images\social\email.svg; 14_06_2025\apexglobalfxworld.com\cdn-cgi\l\email-protection.html; 14_06_2025\apexglobalfxworld.com\cdn-cgi\scripts\5c5dd728\cloudflare-static\email-decode.min.js; 14_06_2025\aspirebitwealth.com\account\en\assets\images\social\email.svg; 14_06_2025\aspirebitwealth.com\cdn-cgi\l\email-protection.html; 14_06_2025\aspirebitwealth.com\cdn-cgi\scripts\5c5dd728\cloudflare-static\email-decode.min.js; 14_06_2025\astridglobalinvestment.com\cdn-cgi\l\email-protection.html; 14_06_2025\astridglobalinvestment.com\cdn-cgi\scripts\5c5dd728\cloudflare-static\email-decode.min.js; 14_06_2025\certifiedtrade.net\cdn-cgi\l\email-protection.html; 14_06_2025\certifiedtrade.net\cdn-cgi\scripts\5c5dd728\cloudflare-static\email-decode.min.js; 14_06_2025\copyvestpro.com\account\en\assets\images\social\email.svg; 14_06_2025\copyvestpro.com\cdn-cgi\l\email-protection.html; 14_06_2025\copyvestpro.com\cdn-cgi\scripts\5c5dd728\cloudflare-static\email-decode.min.js; 14_06_2025\eliteminerproinvestment.com\account\en\assets\images\social\email.svg; 14_06_2025\eliteminerproinvestment.com\cdn-cgi\l\email-protection.html; 14_06_2025\eliteminerproinvestment.com\cdn-cgi\scripts\5c5dd728\cloudflare-static\email-decode.min.js; 14_06_2025\forbescapitaltrade.com\account\en\assets\images\social\email.svg; 14_06_2025\forbescapitaltrade.com\cdn-cgi\l\email-protection.html; 14_06_2025\forbescapitaltrade.com\cdn-cgi\scripts\5c5dd728\cloudflare-static\email-decode.min.js; 14_06_2025\globalproinvestment.com\cdn-cgi\l\email-protection.html; 14_06_2025\globalproinvestment.com\cdn-cgi\scripts\5c5dd728\cloudflare-static\email-decode.min.js; 14_06_2025\horizonprofitchasers.com\account\en\assets\images\social\email.svg; 14_06_2025\horizonprofitchasers.com\cdn-cgi\l\email-protection.html; 14_06_2025\horizonprofitchasers.com\cdn-cgi\scripts\5c5dd728\cloudflare-static\email-decode.min.js; 14_06_2025\horizonxprexbs.com\account\en\assets\images\social\email.svg; 14_06_2025\horizonxprexbs.com\cdn-cgi\l\email-protection.html; 14_06_2025\horizonxprexbs.com\cdn-cgi\scripts\5c5dd728\cloudflare-static\email-decode.min.js; 14_06_2025\pinnaclesassetmanagement.com\cdn-cgi\l\email-protection.html; 14_06_2025\pinnaclesassetmanagement.com\cdn-cgi\scripts\5c5dd728\cloudflare-static\email-decode.min.js; 14_06_2025\premiumcryptolite.com\account\temp\lib\php-email-form; 14_06_2025\premiumcryptolite.com\cdn-cgi\l\email-protection.html; 14_06_2025\premiumcryptolite.com\cdn-cgi\scripts\5c5dd728\cloudflare-static\email-decode.min.js; 14_06_2025\promarketspot.com\cdn-cgi\l\email-protection.html; 14_06_2025\promarketspot.com\cdn-cgi\scripts\5c5dd728\cloudflare-static\email-decode.min.js
email: ,0,
email_password,0,
encrypt,0,
endpoint,0,
engineer,0,
env,1,14_06_2025\cenvor.com
erc20,0,
eth,5,14_06_2025\avonequitiesltd.com\htdocs_error\something-lost.png; 14_06_2025\caddingtonlimited.com\wp-content\themes\betheme; 14_06_2025\caddingtonlimited.com\wp-content\uploads\betheme; 14_06_2025\promarketspot.com\account\dashboard\images\eth.png; 14_06_2025\promarketspot.com\account\includes\icons\eth.png
eval(,0,
eval(,0,
exe,4,14_06_2025\avonequitiesltd.com\indexe47e.html; 14_06_2025\pinnaclesassetmanagement.com\indexe3a5.html; 14_06_2025\promarketspot.com\account\dashboard\indexee4c.html; 14_06_2025\services.google.com\fh\files\misc\impact_report_exec_us.pdf
exec(,0,
expiry,0,
exploit,0,
facebook,1,14_06_2025\promarketspot.com\account\includes\icons\facebook.png
fake reviews,0,
fca warning,0,
fetch(,0,
fetch(,0,
finra,0,
firebaseio,0,
fma warning,0,
formgrabber,0,
founder,0,
fraud warning,0,
fraudulent,0,
freehosting,0,
freenom,0,
fsock,0,
ftp,0,
ftp_password,0,
gateway,0,
github,0,
gitlab,0,
gmail,0,
godaddy,0,
gst,15,14_06_2025\fonts.gstatic.com; 14_06_2025\www.gstatic.com; 14_06_2025\apexglobalfxworld.com\fonts.gstatic.com; 14_06_2025\aspirebitwealth.com\fonts.gstatic.com; 14_06_2025\astridglobalinvestment.com\fonts.gstatic.com; 14_06_2025\certifiedtrade.net\fonts.gstatic.com; 14_06_2025\copyvestpro.com\fonts.gstatic.com; 14_06_2025\eliteminerproinvestment.com\fonts.gstatic.com; 14_06_2025\forbescapitaltrade.com\fonts.gstatic.com; 14_06_2025\globalproinvestment.com\fonts.gstatic.com; 14_06_2025\horizonprofitchasers.com\fonts.gstatic.com; 14_06_2025\horizonxprexbs.com\fonts.gstatic.com; 14_06_2025\premiumcryptolite.com\fonts.gstatic.com; 14_06_2025\promarketspot.com\fonts.gstatic.com; 14_06_2025\samplexcodes.online\fonts.gstatic.com
herokuapp,0,
hex_encode,0,
hidden,0,
hook,1,14_06_2025\caddingtonlimited.com\wp-includes\js\dist\hooks.min4fdd.js
hostinger,0,
hostmaster@,0,
iban,26,14_06_2025\apexglobalfxworld.com\assets\img\integrator\citibank.png; 14_06_2025\apexglobalfxworld.com\assets\img\integrator\citibank.png; 14_06_2025\aspirebitwealth.com\assets\img\integrator\citibank.png; 14_06_2025\aspirebitwealth.com\assets\img\integrator\citibank.png; 14_06_2025\astridglobalinvestment.com\assets\img\integrator\citibank.png; 14_06_2025\astridglobalinvestment.com\assets\img\integrator\citibank.png; 14_06_2025\certifiedtrade.net\assets\img\integrator\citibank.png; 14_06_2025\certifiedtrade.net\assets\img\integrator\citibank.png; 14_06_2025\copyvestpro.com\assets\img\integrator\citibank.png; 14_06_2025\copyvestpro.com\assets\img\integrator\citibank.png; 14_06_2025\eliteminerproinvestment.com\assets\img\integrator\citibank.png; 14_06_2025\eliteminerproinvestment.com\assets\img\integrator\citibank.png; 14_06_2025\forbescapitaltrade.com\assets\img\integrator\citibank.png; 14_06_2025\forbescapitaltrade.com\assets\img\integrator\citibank.png; 14_06_2025\globalproinvestment.com\assets\img\integrator\citibank.png; 14_06_2025\globalproinvestment.com\assets\img\integrator\citibank.png; 14_06_2025\horizonprofitchasers.com\assets\img\integrator\citibank.png; 14_06_2025\horizonprofitchasers.com\assets\img\integrator\citibank.png; 14_06_2025\horizonxprexbs.com\assets\img\integrator\citibank.png; 14_06_2025\horizonxprexbs.com\assets\img\integrator\citibank.png; 14_06_2025\pinnaclesassetmanagement.com\assets\img\integrator\citibank.png; 14_06_2025\pinnaclesassetmanagement.com\assets\img\integrator\citibank.png; 14_06_2025\premiumcryptolite.com\assets\img\integrator\citibank.png; 14_06_2025\premiumcryptolite.com\assets\img\integrator\citibank.png; 14_06_2025\promarketspot.com\assets\img\integrator\citibank.png; 14_06_2025\promarketspot.com\assets\img\integrator\citibank.png
iban,26,14_06_2025\apexglobalfxworld.com\assets\img\integrator\citibank.png; 14_06_2025\apexglobalfxworld.com\assets\img\integrator\citibank.png; 14_06_2025\aspirebitwealth.com\assets\img\integrator\citibank.png; 14_06_2025\aspirebitwealth.com\assets\img\integrator\citibank.png; 14_06_2025\astridglobalinvestment.com\assets\img\integrator\citibank.png; 14_06_2025\astridglobalinvestment.com\assets\img\integrator\citibank.png; 14_06_2025\certifiedtrade.net\assets\img\integrator\citibank.png; 14_06_2025\certifiedtrade.net\assets\img\integrator\citibank.png; 14_06_2025\copyvestpro.com\assets\img\integrator\citibank.png; 14_06_2025\copyvestpro.com\assets\img\integrator\citibank.png; 14_06_2025\eliteminerproinvestment.com\assets\img\integrator\citibank.png; 14_06_2025\eliteminerproinvestment.com\assets\img\integrator\citibank.png; 14_06_2025\forbescapitaltrade.com\assets\img\integrator\citibank.png; 14_06_2025\forbescapitaltrade.com\assets\img\integrator\citibank.png; 14_06_2025\globalproinvestment.com\assets\img\integrator\citibank.png; 14_06_2025\globalproinvestment.com\assets\img\integrator\citibank.png; 14_06_2025\horizonprofitchasers.com\assets\img\integrator\citibank.png; 14_06_2025\horizonprofitchasers.com\assets\img\integrator\citibank.png; 14_06_2025\horizonxprexbs.com\assets\img\integrator\citibank.png; 14_06_2025\horizonxprexbs.com\assets\img\integrator\citibank.png; 14_06_2025\pinnaclesassetmanagement.com\assets\img\integrator\citibank.png; 14_06_2025\pinnaclesassetmanagement.com\assets\img\integrator\citibank.png; 14_06_2025\premiumcryptolite.com\assets\img\integrator\citibank.png; 14_06_2025\premiumcryptolite.com\assets\img\integrator\citibank.png; 14_06_2025\promarketspot.com\assets\img\integrator\citibank.png; 14_06_2025\promarketspot.com\assets\img\integrator\citibank.png
